Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Ward,Parish,Introduced,Terminated,Altitude,Country,Last Updated,Quality,LSOA Code,LSOA Name,LSOA Code 2021,LSOA Name 2021
WN2 4WZ,No,53.546967,-2.635089,358016,405780,SD580057,Wigan Central,"Wigan, unparished area",1995-12-01,2005-03-01,39,England,2024-09-07,Within the building of the matched address closest to the postcode mean,E01006369,Wigan 008C,E01006369,Wigan 008C
WN2 4XA,Yes,53.532129,-2.555194,363297,404085,SD632040,Hindley Green,"Wigan, unparished area",1980-01-01,,52,England,2024-09-07,Within the building of the matched address closest to the postcode mean,E01006285,Wigan 019E,E01006285,Wigan 019E
WN2 4XB,Yes,53.532675,-2.555849,363254,404146,SD632041,Hindley,"Wigan, unparished area",1980-01-01,,54,England,2024-09-07,Within the building of the matched address closest to the postcode mean,E01006286,Wigan 016E,E01006286,Wigan 016E
WN2 4XD,Yes,53.533660,-2.554610,363337,404255,SD633042,Hindley,"Wigan, unparished area",1980-01-01,,54,England,2024-09-07,Within the building of the matched address closest to the postcode mean,E01006270,Wigan 016A,E01006270,Wigan 016A
WN2 4XE,Yes,53.534488,-2.554440,363349,404347,SD633043,Hindley,"Wigan, unparished area",1980-01-01,,59,England,2024-09-07,Within the building of the matched address closest to the postcode mean,E01006270,Wigan 016A,E01006270,Wigan 016A
WN2 4XF,Yes,53.519801,-2.544202,364015,402708,SD640027,Hindley Green,"Wigan, unparished area",1980-01-01,,50,England,2024-09-07,Within the building of the matched address closest to the postcode mean,E01006322,Wigan 026D,E01006322,Wigan 026D
WN2 4XG,Yes,53.516510,-2.546755,363843,402343,SD638023,Hindley Green,"Wigan, unparished area",1980-01-01,,48,England,2024-09-07,Within the building of the matched address closest to the postcode mean,E01006322,Wigan 026D,E01006322,Wigan 026D
WN2 4XH,Yes,53.515309,-2.547643,363783,402210,SD637022,Hindley Green,"Wigan, unparished area",1980-01-01,,47,England,2024-09-07,Within the building of the matched address closest to the postcode mean,E01006322,Wigan 026D,E01006322,Wigan 026D
WN2 4XJ,No,53.516058,-2.560970,362900,402300,SD629023,Abram,"Wigan, unparished area",1980-01-01,1996-06-01,40,England,2024-09-07,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,E01006322,Wigan 026D,E01006322,Wigan 026D
WN2 4XL,Yes,53.513453,-2.545057,363953,402002,SD639020,Leigh West,"Wigan, unparished area",1980-01-01,,41,England,2024-09-07,Within the building of the matched address closest to the postcode mean,E01006322,Wigan 026D,E01006322,Wigan 026D
WN2 4XN,Yes,53.512905,-2.545035,363954,401941,SD639019,Leigh West,"Wigan, unparished area",1980-01-01,,41,England,2024-09-07,Within the building of the matched address closest to the postcode mean,E01006322,Wigan 026D,E01006322,Wigan 026D
WN2 4XP,Yes,53.514116,-2.546919,363830,402077,SD638020,Hindley Green,"Wigan, unparished area",1980-01-01,,43,England,2024-09-07,Within the building of the matched address closest to the postcode mean,E01006322,Wigan 026D,E01006322,Wigan 026D
WN2 4XQ,No,53.546967,-2.635089,358016,405780,SD580057,Wigan Central,"Wigan, unparished area",1980-01-01,2006-04-01,39,England,2024-09-07,Within the building of the matched address closest to the postcode mean,E01006369,Wigan 008C,E01006369,Wigan 008C
WN2 4XR,Yes,53.513302,-2.548085,363752,401987,SD637019,Hindley Green,"Wigan, unparished area",1980-01-01,,41,England,2024-09-07,Within the building of the matched address closest to the postcode mean,E01006322,Wigan 026D,E01006322,Wigan 026D
WN2 4XS,Yes,53.513242,-2.551885,363500,401982,SD635019,Hindley Green,"Wigan, unparished area",1980-01-01,,41,England,2024-09-07,Within the building of the matched address closest to the postcode mean,E01006322,Wigan 026D,E01006322,Wigan 026D
